schuljahr,halbjahr,klasse,fach,lehrer
2023,1,H12A,PG,REIC
2023,1,GTU1,WSP,SCEI
2023,1,AKU1,E,EWEN
2023,1,AKU1,D,EWEN
2023,1,AKU1,SP,SCAE
2023,1,AKU2,E,EWEN
2023,1,AKU2,D,STKG
2023,,AKU2,SP,SCAE
2023,1,AKO1,E,EWEN
2023,1,MAKU1,MKM,LUKA
2023,1,MAKU1,WSP,SCUL
2023,1,MAKU1,FMC,DIET
2023,1,MAKU1,SP,DIET
2023,1,MEDU,SP,DIET
2023,1,MAKM1,MKM,THIE
2023,1,MAKM1,WSP,LUKA
2023,1,MAKM1,FMC,STIP
2023,1,MAKM1,D,HOLL
2023,1,MEDM,D,HOLL
2023,1,MEDU,KSK,HANS
2023,1,MEDU,WSP,WEHL
2023,1,MEDU,VMM,DIET
2023,1,MEDM,KSK,HANS
2023,1,MEDM,WSP,THIE
2023,1,MEDM,VMM,DIET
2023,1,MEDO,KSK,HANS
2023,1,MEDO,WSP,SOMM
2023,1,MEDO,VMM,DIET
2023,1,MEDO,E,EWEN
2023,1,ITFM1,GID,NOWA
2023,1,ITFM1,EVP,SCOP
2023,1,ITFM1,STDM,HOTF
2023,1,ITFO1,GID,PLOG
2023,1,ITFO1,EVP,BRUE
2023,1,ITFO1,STDM,TESC
2023,1,ITFO1,STDM,BRUE
2023,1,ITFO1,STDM,SEMI
2023,1,ITKUD,GID,HEMK
2023,1,ITKUD,EVP,NEE
2023,1,ITKUD,STDM,SUTO
2023,1,ITKUD,E,MEIC
2023,,AKU1,KR,SCAE
2023,1,GTU1,GHP,LUTI
2023,1,GTU1,E,EPPI
2023,1,GTU1,D-DV,SPEI
2023,1,GTU2,GHP,SCEI
2023,1,GTU2,E,EPPI
2023,,GTU2,D-DV,SPEI
2023,1,GTM1,KSK,EPPI
2023,1,GTM1,E,EPPI
2023,1,GTM2,GHP,LUTI
2023,1,GTM2,E,SIEB
2023,1,GTO1,WSP,LUTI
2023,1,GTO1,KSK,HANS
2023,1,GTO3,GHP,LUTI
2023,1,GTO3,KSK,EPPI
2023,1,GBU,WSP,EPPI
2023,1,GBU,GHP,WAID
2023,1,GBU,KSK,UPHO
2023,1,GBU,E,DITT
2023,1,GBU,SP,BRAN
2023,1,GBM,WSP,EPPI
2023,1,GBM,KSK,UPHO
2023,1,GBM,E,DITT
2023,1,GBO,WSP,EPPI
2023,1,GBO,KSK,UPHO
2023,1,EHU1,KKS,ROEN
2023,1,EHU1,WSP,KERS
2023,1,EHU1,DV,WIGA
2023,1,EHU1,E,EICK
2023,1,EHU2,WBP,FUCH
2023,,EHU2,DV,BECK
2023,1,EHU2,E,EICK
2023,1,EHU3,DV,BECK
2023,1,EHU3,E,EICK
2023,,EHU3,SP,NEUJ
2023,1,EHU4,WBP,RUPP
2023,,EHU4,DV,WIGA
2023,1,EHU4,E,EICK
2023,1,EHU4,SP,DIET
2023,1,EHM1,KKS,BART
2023,1,EHM1,WBP,LANK
2023,1,EHM1,WSP,PILA
2023,1,EHM1,E,STEC
2023,1,EHM1,KR,SENG
2023,1,EHM1,D,HUIZ
2023,1,EHM2,KKS,SCUL
2023,1,EHM2,WBP,LEHK
2023,1,EHM2,WSP,WIGA
2023,1,EHM2,KSK,FUCH
2023,1,EHM2,E,STEC
2023,1,EHM2,D,STRA
2023,1,EHM3,KKS,WILM
2023,1,EHM3,WBP,FUCH
2023,1,EHM3,WSP,STRE
2023,1,EHM3,KSK,SCAF
2023,1,EHM3,E,STEC
2023,1,EHM3,D,STRA
2023,1,EHM4,KKS,VINN
2023,1,EHM4,WBP,HUIZ
2023,1,EHM4,WSP,STRE
2023,1,EHM4,KSK,KREY
2023,1,EHM4,E,STEC
2023,1,EHM4,D,STRA
2023,1,EHM5,KKS,BART
2023,1,EHM5,WSP,FUCH
2023,1,EHM5,KSK,SIEG
2023,1,EHM5,E,STEC
2023,1,AKU2,KR,SCAE
2023,1,EHM5,D,STRA
2023,1,EHO1,WSP,FUCH
2023,1,EHO2,KKS,BART
2023,1,EHO2,WSP,SCUL
2023,1,EHO2,KSK,FUCH
2023,1,EHO3,KKS,LEHK
2023,1,EHO3,WSP,SALZ
2023,1,EHO3,KSK,LANK
2023,1,EVM1,KSK,UPHO
2023,1,EVM1,E,WALK
2023,1,EVM1,WBP,LEHK
2023,,EVM1,DV,SPEI
2023,1,EVO1,KKS,LANK
2023,1,EVO1,WBP,LEHK
2023,1,EVO1,KSK,UPHO
2023,1,DRU,DROP,MEIN
2023,1,DRU,STK,SCAF
2023,1,DRU,DV,EICH
2023,1,DRU,D,EMKE
2023,1,DRM,DROP,NEUJ
2023,1,DRM,STK,SIEG
2023,1,DRM,ER,BAUE
2023,1,DRO,DROP,NEUJ
2023,1,DRO,STK,DIET
2023,1,FVU1,KSK,HEIN
2023,1,FVM1,KKS,RUPP
2023,1,FVM1,KSK,RUPP
2023,1,FVM1,WSP,SCWB
2023,,FVM1,SP,MIECK
2023,1,BF1A,GP,SIEG
2023,1,BF1A,PP,HUES
2023,1,BF1A,MA,WIGA
2023,1,BF1A,D,FEYE
2023,1,F12A,BWRW,WAID
2023,1,F12A,VWL,FRIE
2023,1,F12A,WR,KLOI
2023,1,F12A,MA,MEIN
2023,1,F12A,E,BRAN
2023,1,F12A,BIO,KAMP
2023,1,F12A,WIF,KURZ
2023,1,F12A,D,WESE
2023,1,F12A,PG,REIC
2023,1,F13A,BWRW,BART
2023,1,F13A,BVWL,DITT
2023,1,F13A,MA,ROES
2023,1,F13A,D,PESCH
2023,1,F13A,GG,SCAU
2023,1,H11A,E,DITT
2023,1,H11A,SP,MIECK
2023,1,H11A,D,HUIZ
2023,1,H11A,BWRW,WEIN
2023,1,H12A,BWRW,HUIZ
2023,1,H12A,VWL,ROEN
2023,1,H12A,INWI,PIER
2023,1,H12A,E,GROS
2023,1,H12B,INWI,BENE
2023,1,H12B,E,DAGO
2023,1,H12B,D,OSSIO
2023,1,H12C,BWRW,KLAP
2023,1,H12C,INWI,PLOG
2023,1,H12C,MA,TESC
2023,1,H12C,E,WALK
2023,1,H12C,D,BAUE
2023,1,H12D,BWRW,RAMM
2023,1,H12D,VWL,HEMK
2023,1,H12D,MA,SCOP
2023,1,H12D,E,BRAN
2023,1,H12D,D,BAUE
2023,1,WG11B,E,KAST
2023,1,WG11B,GG,NEUH
2023,1,WG11B,BWL,HOTF
2023,1,WG11B,VWL,NEUH
2023,1,WG11B,MA,MEIN
2023,1,WG11B,WIF,HOTF
2023,1,WG11B,SP,NEUJ
2023,1,BA3O,VWL,KEES
2023,1,BA3O,D-TV,ARND
2023,1,BA3O,PG,NEUH
2023,1,WG11A,D,JACK
2023,1,WG11A,GG,SCAU
2023,1,WG11A,VWL,KERS
2023,1,WG11A,MA,TESC
2023,1,WG11A,WIF,ROER
2023,1,WG11A,WIF,SCOP
2023,1,WG11A,SP,MIECK
2023,1,H11A,MA,SCOP
2023,1,GBO,GHP,WAID
2023,1,GTU2,WSP,SONN
2023,1,GTO1,GHP,SCEI
2023,1,GTO3,WSP,SCEI
2023,1,FVU1,ER,JACK
2023,1,H12B,MA,RIEG
2023,1,EHU3,WBP,FUCH
2023,1,EVM1,KKS,BART
2023,1,GTU1,KR,PILA
2023,1,GTU2,KR,PILA
2023,1,H11H,BWRW,LUKA
2023,1,H11H,VWL,SENG
2023,1,H11H,INWI,PRESS
2023,1,H11H,MA,SCAF
2023,1,H11H,PG,ROES
2023,1,H12C,PG,REIC
2023,1,H12D,PG,NEE
2023,1,GTM2,KSK,UPHO
2023,1,EVM1,ER,JACK
2023,1,EVM1,D,FABE
2023,1,EVM1,SP,BERN
2023,1,KBU1,BP,WEHL
2023,1,KBU1,GP,PIER
2023,1,KBU1,D,HOLL
2023,1,KBU2,BP,STEC
2023,1,KBU2,GP,SIND
2023,1,KBU3,BP,PIER
2023,1,KBU4,BP,EICH
2023,1,KBU4,GP,SPEI
2023,1,KBU5,BP,HUES
2023,1,KBU5,GP,EICH
2023,1,KVM1,GP,SPEI
2023,1,KVM1,D,PESCH
2023,1,KVM1,STK,BERL
2023,1,KVM1,E,GROS
2023,1,ITFO1,D-PM,SCWA
2023,,KVM1,SP,GROS
2023,1,DRM,WSP,PILA
2023,1,FVU1,WSP,SCWB
2023,1,KBM1,BP,HUES
2023,1,KBM1,GP,PIER
2023,1,KBM1,STK,HANS
2023,1,KBM1,E,STEC
